ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude,EC_calib,CAL_TYPE,ModelFile,MdlStep,version__origin__name,version__version,station_id,drainage_area,lon_provided,lat_provided,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments
57,27100400,Andernach,1004,DE,7.392084,50.443357,51.47,139549,Rhine,Rhine,Rhine,-,139767.8,7.39167,50.44167,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_57.pickle,6,EFAS,17,57,,,,,,,,
58,2750010,Düsseldorf,1004,DE,6.769909,51.225463,24.48,147680.43,Rhine,Rhine,Rhine,C203,147920.9,6.75833,51.225,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_58.pickle,6,EFAS,17,58,,,,,,,,
59,24500100,Steinbach,1004,DE,9.60370974,50.00996142,146.33,17914.2,Main,Rhine,Rhine,-,17932,9.60833,50.00833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_59.pickle,6,EFAS,17,59,,,,,,,,
60,26400550,Fremersdorf,1004,DE,6.648444,49.408914,165.5,6983,Saar,Rhine,Rhine,C214,6975.8,6.64167,49.40833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_60.pickle,6,EFAS,17,60,,,,,,,,
61,23800620,Gundelsheim UP,1004,DE,9.153664,49.281374,136.63,12332,Neckar,Rhine,Rhine,-,12329.2,9.15833,49.275,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,61,,,,,,,,
62,2710080,Bonn,1004,DE,7.10807,50.736364,42.66,140901,Rhine,Rhine,Rhine,-,141123.4,7.10833,50.74167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_62.pickle,6,EFAS,17,62,,,,,,,,
63,23700600,Speyer,1004,DE,8.44876,49.323786,88.51,53131,Rhine,Rhine,Rhine,C334,53580.3,8.45833,49.325,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_63.pickle,6,EFAS,17,63,,,,,,,,
64,23800760,Heidelberg UP,1004,DE,8.717778,49.414661,103.26,13783,Neckar,Rhine,Rhine,-,13778.1,8.70833,49.40833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_64.pickle,24,EFAS,17,64,,,,,,,,
65,23900600,Nierstein-Oppenheim,1004,DE,8.35244,49.864958,80.19,70387,Rhine,Rhine,Rhine,-,70563.6,8.35833,49.85833,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,65,,,,,,,,
66,23700700,Mannheim,1004,DE,8.45413,49.48476,85.16,54017,Rhine,Rhine,Rhine,-,54262.8,8.45833,49.475,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,66,,,,,,,,
